ID,probability
TEST_00000,0.0012242959346622229
TEST_00001,0.001875641755759716
TEST_00002,0.15997064113616943
TEST_00003,0.10567998886108398
TEST_00004,0.5414101481437683
TEST_00005,0.1191837415099144
TEST_00006,0.4475204050540924
TEST_00007,0.3544469177722931
TEST_00008,0.2922559976577759
TEST_00009,0.001213059644214809
TEST_00010,0.046058639883995056
TEST_00011,0.4646519422531128
TEST_00012,0.3622053265571594
TEST_00013,0.4009012281894684
TEST_00014,0.3796539306640625
TEST_00015,0.001304584788158536
TEST_00016,0.20084120333194733
TEST_00017,0.3820980191230774
TEST_00018,0.18924342095851898
TEST_00019,0.630295991897583
TEST_00020,0.25383108854293823
TEST_00021,0.40128976106643677
TEST_00022,0.2574769854545593
TEST_00023,0.20524992048740387
TEST_00024,0.4040059447288513
TEST_00025,0.0014514990616589785
TEST_00026,0.11880617588758469
TEST_00027,0.4208759367465973
TEST_00028,0.17539376020431519
TEST_00029,0.18006938695907593
TEST_00030,0.44238805770874023
TEST_00031,0.15562620759010315
TEST_00032,0.1519862413406372
TEST_00033,0.1812693178653717
TEST_00034,0.3897428512573242
TEST_00035,0.0011346789542585611
TEST_00036,0.12860962748527527
TEST_00037,0.31040942668914795
TEST_00038,0.2262459546327591
TEST_00039,0.004506079945713282
TEST_00040,0.18504785001277924
TEST_00041,0.1446729600429535
TEST_00042,0.30174440145492554
TEST_00043,0.3006041347980499
TEST_00044,0.32994380593299866
TEST_00045,0.49900949001312256
TEST_00046,0.5181869864463806
TEST_00047,0.2283499538898468
TEST_00048,0.1364164650440216
TEST_00049,0.4044763445854187
TEST_00050,0.25914424657821655
TEST_00051,0.16926738619804382
TEST_00052,0.11589862406253815
TEST_00053,0.5885469317436218
TEST_00054,0.001183574553579092
TEST_00055,0.465312123298645
TEST_00056,0.29750561714172363
TEST_00057,0.21052269637584686
TEST_00058,0.4991908669471741
TEST_00059,0.18279379606246948
TEST_00060,0.0022996021434664726
TEST_00061,0.16837409138679504
TEST_00062,0.3007054924964905
TEST_00063,0.3312647342681885
TEST_00064,0.21653549373149872
TEST_00065,0.0012878729030489922
TEST_00066,0.2628905773162842
TEST_00067,0.19498661160469055
TEST_00068,0.302792489528656
TEST_00069,0.46939224004745483
TEST_00070,0.3676830530166626
TEST_00071,0.3549942672252655
TEST_00072,0.21509966254234314
TEST_00073,0.23290982842445374
TEST_00074,0.1466829478740692
TEST_00075,0.25316140055656433
TEST_00076,0.018261758610606194
TEST_00077,0.0015128422528505325
TEST_00078,0.11750809848308563
TEST_00079,0.19513747096061707
TEST_00080,0.3586748242378235
TEST_00081,0.0012117777951061726
TEST_00082,0.19854478538036346
TEST_00083,0.18309098482131958
TEST_00084,0.4501652717590332
TEST_00085,0.3909672200679779
TEST_00086,0.0013569914735853672
TEST_00087,0.3714357018470764
TEST_00088,0.11374303698539734
TEST_00089,0.3790668249130249
TEST_00090,0.2521617114543915
TEST_00091,0.0957065001130104
TEST_00092,0.3608675003051758
TEST_00093,0.5479456186294556
TEST_00094,0.0010704495944082737
TEST_00095,0.0013580211671069264
TEST_00096,0.4531175196170807
TEST_00097,0.11327800899744034
TEST_00098,0.3547118902206421
TEST_00099,0.2748144268989563
TEST_00100,0.1164322942495346
TEST_00101,0.18455538153648376
TEST_00102,0.384578138589859
TEST_00103,0.2725817561149597
TEST_00104,0.38417476415634155
TEST_00105,0.4760935604572296
TEST_00106,0.27086901664733887
TEST_00107,0.0010811114916577935
TEST_00108,0.32572585344314575
TEST_00109,0.001166459871456027
TEST_00110,0.43282467126846313
TEST_00111,0.3871498703956604
TEST_00112,0.01643536612391472
TEST_00113,0.35411566495895386
TEST_00114,0.17170536518096924
TEST_00115,0.4161843955516815
TEST_00116,0.0017845602706074715
TEST_00117,0.4594721794128418
TEST_00118,0.3305261731147766
TEST_00119,0.16631057858467102
TEST_00120,0.0013883791398257017
TEST_00121,0.0012230296852067113
TEST_00122,0.3136284351348877
TEST_00123,0.5222240090370178
TEST_00124,0.4135802984237671
TEST_00125,0.28456926345825195
TEST_00126,0.0015179477632045746
TEST_00127,0.060238879173994064
TEST_00128,0.26031482219696045
TEST_00129,0.3945331573486328
TEST_00130,0.23057912290096283
TEST_00131,0.41242605447769165
TEST_00132,0.0011662947945296764
TEST_00133,0.2750342786312103
TEST_00134,0.3825608491897583
TEST_00135,0.0012056025443598628
TEST_00136,0.18189102411270142
TEST_00137,0.2209174782037735
TEST_00138,0.07800526916980743
TEST_00139,0.259429395198822
TEST_00140,0.015981441363692284
TEST_00141,0.0013465721858665347
TEST_00142,0.2889319062232971
TEST_00143,0.0015627822140231729
TEST_00144,0.1271658092737198
TEST_00145,0.5026569366455078
TEST_00146,0.15586206316947937
TEST_00147,0.22127793729305267
TEST_00148,0.2376689314842224
TEST_00149,0.40904057025909424
TEST_00150,0.0013646167935803533
TEST_00151,0.0010062577202916145
TEST_00152,0.36832645535469055
TEST_00153,0.2898446321487427
TEST_00154,0.026751480996608734
TEST_00155,0.23670750856399536
TEST_00156,0.3579750061035156
TEST_00157,0.33052587509155273
TEST_00158,0.4400397539138794
TEST_00159,0.3202126920223236
TEST_00160,0.448147177696228
TEST_00161,0.5278548002243042
TEST_00162,0.3010993003845215
TEST_00163,0.0015179188922047615
TEST_00164,0.5630687475204468
TEST_00165,0.25037598609924316
TEST_00166,0.35898321866989136
TEST_00167,0.2007003128528595
TEST_00168,0.38316309452056885
TEST_00169,0.18801772594451904
